"","Country.Name","Property.Rights","Change.in.Property.Rights.from.2015","Freedom.from.Corruption","Change.in.Freedom.from.Corruption.from.2015","Fiscal.Freedom","Change.in.Fiscal.Freedom.from.2015","Gov.t.Spending","Change.in.Gov.t.Spending.from.2015","Business.Freedom","Change.in.Business.Freedom.from.2015","Labor.Freedom","Change.in.Labor.Freedom.from.2015","Monetary.Freedom","Change.in.Monetary.Freedom.from.2015","Trade.Freedom","Change.in.Trade.Freedom.from.2015","Investment.Freedom","Change.in.Investment.Freedom.from.2015","Financial.Freedom","Change.in.Financial.Freedom.from.2015","Tariff.Rate....","Income.Tax.Rate....","Corporate.Tax.Rate....","Tax.Burden...of.GDP","Gov.t.Expenditure...of.GDP","Population..Millions.","GDP..Billions..PPP.","GDP.Growth.Rate....","X5.Year.GDP.Growth.Rate....","GDP.per.Capita..PPP.","Unemployment....","Inflation....","FDI.Inflow..Millions.","Public.Debt....of.GDP.","HUMAN.FREEDOM..Rank.","HUMAN.FREEDOM..Quartile.","Procedural.Justice","Civil.Justice","Criminal.Justice","Rule.of.Law","Homicide","Homicide.DATA","Disappearances","Violent.Conflicts","Violent.Conflicts.DATA","Organised.Conflicts","Terrorism.Fatalities","Terrorism.Fatalities.DATA","Terrorism.Injuries","Terrorism.Injuries.DATA","Disapperances","Conflicts","and.Terrorism","Female.Genital.Mutilation","Missing.Women","Inheritance.Rights..Widows","Inheritance.Rights..Daughters","Inheritance.Rights","Women.s.Security...Safety","Security...Safety","Domestic.Movement","Foreign.Movement","Women.s.Movement","Movement","Establishing.Religious.Organizations","Operating.Religious.Organizations","Establishing.and.Operating.Religious.Organizations","Harassment.and.Physical.Hostilities","Legal.and.Regulatory.Restrictions","Religion","Association","Assembly","Establishing.Political.Parties","Operating.Political.Parties","Establishing.and.Operating.Political.Parties","Establishing.Professional.Organization","Operating.Professional.Organization","Establishing.and.Operating.Professional.Organization","Establishing.Educational","Sporting.and.Cultural.Organizations","Operating.Educational","Sporting.and.Cultural.Organizations.1","Establishing.and.Operating.Educational","Sporting.and.Cultural.Organizations.2","Association.1","Assembly.1","X..Civil.Society","Press.Killed","Press.Killed.DATA","Press.Jailed","Press.Jailed.DATA","Laws.and.Regulations.that.Influence.Media.Content","Political.Pressures.and.Controls.on.Media.Content","Access.to.Cable.Satellite","Access.to.Foreign.Newspapers","State.Control.over.Internet.Access","Expression...Information","Legal.Gender","Parental.Authority..In.Marriage","Parental.Authority..After.Divorce","Parental.Rights","Male.to.Male.Relationships","Female.to.Female.Relationships","Same.Sex.Relationships","Divorce","Identity...Relationships","PERSONAL.FREEDOM..Score.","PERSONAL.FREEDOM..Rank.","Government.Consumption","Government.Consumption.DATA","Transfers.and.subsidies","Transfers.and.subsidies.DATA","Government.enterprises.and.investment","Government.enterprises.and.investment.DATA","Top.marginal.income.tax.rate","Top.marginal.income.tax.rate.DATA","Top.marginal.income.and.payroll.tax.rate","Top.marginal.income.and.payroll.tax.rate.DATA","Top.marginal.tax.rate","Size.of.Government","Judicial.independence","Impartial.courts","Protection.of.property.rights","Military.interference.in.rule.of.law.and.politics","Integrity.of.the.legal.system","Legal.enforcement.of.contracts","Regulatory.restrictions.on.the.sale.of.real.property","Reliability.of.police","Business.costs.of.crime","Gender.Adjustment","Legal.System...Property.Rights","Money.growth","Money.growth.DATA","Standard.deviation.of.inflation","Standard.deviation.of.inflation.DATA","Inflation..Most.recent.year","Inflation..Most.recent.year.DATA","Freedom.to.own.foreign.currency.bank.accounts","Sound.Money","Revenue.from.trade.taxes....of.trade.sector.","Revenue.from.trade.taxes....of.trade.sector..DATA","Mean.tariff.rate","Mean.tariff.rate.DATA","Standard.deviation.of.tariff.rates","Standard.deviation.of.tariff.rates.DATA","Tariffs","Non.tariff.trade.barriers","Compliance.costs.of.importing.and.exporting","Regulatory.trade.barriers","Black.market.exchange.rates","Foreign.ownership.investment.restrictions","Capital.controls","Freedom.of.foreigners.to.visit","Controls.of.the.movement.of.capital.and.people","Freedom.to.trade.internationally","Ownership.of.banks","Private.sector.credit","Interest.rate.controls.negative.real.interest.rates.","Credit.market.regulations","Hiring.regulations.and.minimum.wage","Hiring.and.firing.regulations","Centralized.collective.bargaining","Hours.Regulations","Mandated.cost.of.worker.dismissal","Conscription","Labor.market.regulations","Administrative.requirements","Bureaucracy.costs","Starting.a..business","Extra.payments.bribes.favoritism","Licensing.restrictions","Tax.compliance","Business.regulations","Regulation","ECONOMIC.FREEDOM..Score.","ECONOMIC.FREEDOM..Rank."
"103","Pakistan","30","0","29","1","79","1.3","86.2","0.1","61.2","-4.4","42.1","0","71.5","0.3","65","-0.6","55","5","40","0","10","30","33","10.5","21.4","186.3","882.3 ","4.1","3.6","4736","5.2","8.6","1747.00","64.2","66","140","4","3","0","3","7","3","8","3","5","8","2","4","4","0","0","8","8","3","5","2","5","8","1","5","8","8","0","9","8","5","5","10","0","5","0","0","0","0","0","0","0","5","0","6","2","5","0","5","0","5","0","5","0",NA,NA,"2","5","6","0","3","7","4","0","7","5","7","5",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"10","0","9","0","8","4","3","0","10","0","0","0","3","7","2","5","10","0","7","5","7","5","7","1","10","0","0","0","0","0","0","0","0","0","10","0","5","0","0","0","3","8","5","32","143","8","1","12","4","9","2","3","4","6","0","27","2","8","0","30","0","8","0"
"104","Panama","30","0","37","2","84.4","-0.1","77.9","-0.9","74.4","2.9","42.9","1.4","78.6","2.2","77.8","-0.6","75","0","70","0","6.1","25","25","17.7","27.2","3.9","76.4 ","6.2","8.7","19455","4.3","2.6","4718.90","45.6","65","46","2","5","1","4","8","3","3","4","4","6","1","9","7","10","0","10","0","0","0","10","0","10","0","0","0","10","0","0","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","8","7","10","0","10","0","10","0","10","0",NA,NA,"10","0","9","0","6","1","8","4","10","0","10","0",NA,NA,"7","5",NA,NA,"7","5",NA,NA,"7","5","8","5","10","0","0","0","7","5","1","0","4","3","6","3","10","0","10","0","10","0","8","3","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","7","72","53","6","4","18","3","8","6","5","8","8","0","16","7","9","0","25","0","4","0"
"105","Paraguay","30","0","24","0","96.3","0.3","83.3","1.4","62.6","4.2","30.4","4.1","76.8","-1.5","76.2","-5.2","75","0","60","0","4.4","10","10","13.1","23.6","6.9","58.3 ","4.4","7","8449","4.5","5","236.3","21.4","96","72","2",NA,NA,NA,"4","1","6","3","9","3","10","0","10","0","0","0","5","0","9","5","1","5","9","9","0","3","8","9","10","0","10","0","5","0","5","0","5","0","8","3","7","8","10","0","5","0","10","0","8","3",NA,NA,"7","5","9","6","7","5","8","2","7","5","10","0",NA,NA,"5","0",NA,NA,"7","5",NA,NA,"7","5","7","5","10","0","0","0","10","0","0","0","4","7","4","0","10","0","10","0","10","0","8","4","0","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","7","5","6","97","80","7","4","14","9","8","9","4","7","8","0","16","6","10","0","10","0","7","0","32","0","8"
"106","Peru","40","0","38","0","78.5","-0.1","86.1","-2.4","67.8","0.1","62.9","-0.5","83.7","-0.2","87","0","70","0","60","0","1.5","30","30","18.6","21.5","31.4","371.3 ","2.4","5.8","11817","4.2","3.2","7606.60","20.7","58","47","2","6","2","4","4","3","6","4","7","6","9","7","7","10","0","10","0","0","0","7","5","9","9","0","3","10","0","0","2","9","5","10","0","10","0","5","0","5","0","5","0","8","3","8","2","10","0","10","0","10","0","10","0",NA,NA,"10","0","9","3","5","4","8","2","10","0","7","5",NA,NA,"10","0",NA,NA,"7","5",NA,NA,"10","0","9","0","6","9","1","0","10","0","0","0","5","3","5","3","10","0","10","0","10","0","8","2","10","0","10","0","5","0","7","5","10","0","10","0","10","0","10","0","9","4","7","72","51","6","8","17","0","9","7","1","7","6","0","25","1","8","0","30","0","3","0"
"107","Philippines","30","0","38","2","79","-0.1","89.6","0.3","63","7.7","57.1","-1.1","77.7","-1.1","76.4","1","60","0","60","0","4.3","32","30","13.3","18.6","99.4","692.2 ","6.1","6.3","6962","7.1","4.2","6200.50","37.2","92","73","2","2","5","4","7","3","1","3","4","5","6","11","0","5","0","8","2","5","3","2","5","8","7","4","0","8","6","7","0","6","6","10","0","10","0","5","0","5","0","5","0","8","3","6","8","10","0","10","0","5","0","8","3",NA,NA,"10","0","8","1","7","4","8","5","7","5","7","5",NA,NA,"7","5",NA,NA,"10","0",NA,NA,"7","5","8","0","7","1","3","0","10","0","0","0","5","3","5","0","10","0","10","0","10","0","8","2","10","0","0","0","0","0","0","0","10","0","10","0","10","0","5","0","6","3","6","50","100","7","9","13","1","9","1","3","8","10","0","13","1","7","0","32","0","7","0"
"108","Poland","65","5","61","1","75.5","-6.6","46.5","-0.6","68.7","1.4","58","-2.4","85.2","3.9","88","0","75","5","70","0","1","32","19","32.7","42.2","38","954.5 ","3.3","3","25105","9.2","0","13882.80","48.8","81","39","1","6","6","6","4","6","2","6","4","9","7","0","7","10","0","10","0","0","0","7","5","10","0","0","0","10","0","0","0","9","5","10","0","10","0","10","0","10","0","10","0","10","0","9","7","10","0","10","0","10","0","10","0",NA,NA,"5","0","8","2","5","9","6","3","10","0","10","0",NA,NA,"10","0",NA,NA,"7","5",NA,NA,"7","5","9","0","10","0","0","0","10","0","0","0","6","3","6","5","7","5","10","0","10","0","8","6","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","8","35","36","4","9","23","4","5","6","16","6","8","0","18","6","7","0","32","0","1","0"
"109","Portugal","70","0","63","1","60.5","-0.6","24.8","-4","85.3","-2.2","43.5","0.6","85.7","2.9","88","0","70","0","60","0","1","48","23","33.4","50.1","10.4","280.4 ","0.9","-0.9","26975","14.2","-0.2","8807.10","130.2","28","22","1","8","2","6","9","6","4","7","2","9","7","0","6","10","0","10","0","0","0","10","0","10","0","0","0","10","0","0","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","9","10","0","10","0","10","0","10","0",NA,NA,"10","0","9","5","8","8","9","4","10","0","10","0",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"7","5","9","5","10","0","0","0","10","0","0","0","8","7","8","3","10","0","10","0","10","0","9","6","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","9","4","14","5","4","21","6","4","7","19","9","10","0","9","7","4","0","55","0","1","0"
"110","Qatar","65","-5","69","1","99.7","0","70.4","-1.5","71.4","0.9","70.7","-0.5","74.1","-5.6","81.8","0","45","0","60","10","4.1","0","0","5.2","31.4","2.2","320.5 ","6.1","9.7","143427","0.3","3","1040.40","31.5","51","103","3",NA,NA,NA,"6","5","9","8","0","4","10","0","10","0","0","0","10","0","10","0","0","0","10","0","0","0","10","0","10","0","7","5","0","0","0","0","0","0","5","8","8","6","5","0","5","0","0","0","3","3",NA,NA,"2","5","8","6","3","0","4","7","0","0","2","5",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"10","0","2","5","10","0","0","0","10","0","0","0","3","0","3","3","7","5","7","5","7","5","7","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","53","134","0","0","47","3","9","6","1","9",NA,NA,"10","0","0","0","10","0","0","0","10","0","6","5"
"111","Romania","35","-5","43","0","87.5","0.6","65.6","3.3","66.1","-3.7","65.1","-3.5","81.1","3.8","88","0","75","-5","50","0","1","16","16","27.2","33.8","19.9","392.8 ","2.9","1.4","19712","7","1.1","3234.00","40.4","17","24","1","6","8","6","5","5","7","6","3","9","5","1","2","10","0","10","0","0","0","10","0","10","0","0","0","10","0","0","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","8","10","0","10","0","10","0","10","0",NA,NA,"10","0","7","9","5","7","7","9","10","0","10","0",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"10","0","10","0","10","0","0","0","10","0","0","0","7","0","6","0","10","0","10","0","10","0","9","0","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","8","65","31","6","3","18","6","7","0","11","4","7","0","20","8","10","0","16","0","4","0"
"112","Russia","20","0","27","-1","82.2","-3.9","56.2","-1.6","72.2","-4.1","57.6","-1.3","62.9","-1","72.4","-2.6","25","0","30","0","6.3","13","20","34.8","38.2","143.7","3564.5 ","0.6","2.8","24805","5.1","7.8","20957.70","17.9","27","119","3","3","3","5","3","3","3","4","0","5","7","10","8","0","0","9","8","0","5","5","0","9","9","0","4","9","9","0","4","6","9","10","0","10","0","10","0","10","0","10","0","10","0","7","5","0","0","0","0","10","0","3","3",NA,NA,"5","0","6","0","2","8","4","6","5","0","5","0",NA,NA,"2","5",NA,NA,"5","0",NA,NA,"7","5","5","0","10","0","0","0","9","9","2","0","1","7","1","5","5","0","7","5","7","5","6","1","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","5","71","130","4","1","26","0","5","2","18","0","10","0","9","7","10","0","13","0","5","0"
"113","Rwanda","30","0","49","-4","80.1","-0.1","77.1","-2.1","60.5","1","82","-2.5","79.4","3.4","67.6","-13.2","65","0","40","0","8.7","30","30","13.9","27.6","11.1","18.8 ","7","6.8","1698","0.6","1.8","267.7","28","97","71","2",NA,NA,NA,"5","3","9","0","2","5","10","0","6","4","10","8","5","0","10","0","0","0","10","0","0","0","8","3","10","0","10","0","5","0","5","0","5","0","8","3","8","5","10","0","5","0","5","0","6","7",NA,NA,"2","5","8","7","6","9","6","0","2","5","2","5",NA,NA,"0","0",NA,NA,"2","5",NA,NA,"2","5","2","0","10","0","0","0","10","0","0","0","2","3","1","5","7","5","5","0","7","5","6","3",NA,"5","0","10","0","7","5","10","0","10","0","10","0","10","0","9","2","6","47","101","6","9","16","5","9","5","2","5","0","0","66","9","8","0","30","0","5","0","37","0","6","5"
"114","Saudi Arabia","40","0","49","3","99.7","0","56.8","-5.1","69.9","4.1","68.5","-4.2","69.2","0.8","77.8","1.4","40","0","50","0","3.6","2.5","2.5","4.3","38","30.8","1605.7 ","3.6","5.3","52183","5.6","2.7","8012.00","1.6","48","146","4",NA,NA,NA,"5","9","9","4","1","5","10","0","10","0","0","0","2","5","8","3","5","0","8","8","6","1","7","9","10","0","5","0","0","0","0","0","0","0","5","0","7","4","0","0","0","0","0","0","0","0",NA,NA,"0","0","7","1","2","5","3","2","2","5","2","5",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"5","0","2","0","10","0","0","0","8","1","6","0","0","3","2","0","7","5","7","5","5","0","5","8",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","44","155","0","7","37","6",NA,NA,NA,NA,"10","0","0","0","10","0","20","0","10","0","5","4","7","0"
"115","Senegal","40","0","43","2","71.6","0.3","76.1","1.5","49.1","-5.5","42.4","2.9","84.9","1.9","73.8","-0.2","60","0","40","0","8.1","40","30","18.4","28.2","14.5","33.6 ","4.5","3.4","2311","10","-0.5","342.7","50.7","50","105","3","4","1","5","6","4","3","4","7","7","0","7","4","10","0","10","0","0","0","5","0","10","0","0","0","10","0","0","0","9","0","7","4","10","0","5","0","5","0","5","0","7","5","7","8","10","0","5","0","5","0","6","7",NA,NA,"10","0","9","6","7","5","9","0","10","0","10","0",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"10","0","10","0","10","0","0","0","10","0","0","0","4","0","6","3","10","0","7","5","10","0","8","3",NA,"0","0","5","0","2","5","0","0","0","0","0","0","5","0","2","5","6","77","91","6","6","17","6","9","7","1","5","6","0","27","0","5","0","40","0","5","0","40"
"116","Serbia","50","5","41","-1","84.3","1.9","44.1","17","60.2","2.4","66.2","-4.2","77.5","5.3","77.8","-0.4","70","-5","50","0","6.1","15","15","33.4","43.2","7.2","95.5 ","-1.8","0.3","13329","22.2","2.1","1996.10","72.4","35","51","2","4","7","4","9","3","6","4","4","9","4","1","4","10","0","10","0","0","0","7","5","10","0","0","0","10","0","0","0","9","5","10","0","10","0","5","0","10","0","7","5","9","2","9","4","10","0","10","0","10","0","10","0",NA,NA,"10","0","8","9","5","9","8","3","7","5","7","5",NA,NA,"7","5",NA,NA,"7","5",NA,NA,"10","0","8","0","10","0","0","0","10","0","0","0","5","0","4","8","10","0","10","0","10","0","8","5","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","7","85","48","6","4","18","1","3","7","23","7","8","0","18","4","10","0","15","0","5","0"
"117","Seychelles","50","0","55","1","79.3","-0.5","62","2.6","66","-1.7","62.1","-1.8","79.7","3.7","83.4","39.4","55","5","30","0","3.3","15","33","27.5","35.6","0.1","2.4 ","2.9","5.9","25607","","1.4","228.7","64.6","30","54","2",NA,NA,NA,"5","4","4","9","12","7","10","0","10","0","0","0",NA,"10","0","0","0","10","0","0","0","10","0",NA,NA,NA,NA,NA,NA,"7","5","10","0","5","0",NA,"7","5",NA,NA,NA,"9","9","6","4","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","0","0","0","10","0","0","0","4","7","6","0",NA,NA,NA,"7","7",NA,NA,NA,NA,"10","0","10","0","10","0",NA,"10","0","7","37","69","0","0","41","1","7","3","10","4","8","0","20","0","10","0","15","0","10","0","19","0","10","0","6","3","5","0","4","5","5","7","8","2",NA,"4","1","7","1","5","9","5","6","1","0","5"
"118","Sierra Leone","10","0","31","1","81.2","0.4","92.6","5.1","49.9","-3.5","43.2","1.6","70.8","2.3","69.4","-0.8","55","0","20","0","10.3","30","30","8.8","15.7","6.2","12.6 ","6","10.5","2027","3.3","8.3","439.9","38.8","40","112","3","3","8","4","1","3","8","3","9","9","3","1","7","10","0","10","0","0","0","7","5","10","0","0","1","10","0","0","0","9","5","1","2","10","0","5","0","5","0","5","0","5","4","8","1","10","0","10","0","5","0","8","3",NA,NA,NA,"8","8","8","1","8","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","0","0","0","10","0","0","0","4","0","5","0",NA,NA,NA,"7","3",NA,"10","0","10","0","10","0","0","0","10","0","5","0","10","0","8","3","7","4","77","8","6","10","9","10","0","0","3","4","0","35","2","7","0","35","0","4","0","44","0","5","5","7","0","3","2","3","3","4"
"119","Singapore","90","0","84","-2","91.2","0","90.1","-3.7","95","-1.9","90.7","-6.2","81.8","-1.9","90","0","85","0","80","0","0","20","17","13.8","18.2","5.5","452.7 ","2.9","6.4","82762","3","1","67523.00","98.8","16","25","1","6","9","8","1","8","0","7","7","9","9","0","3","10","0","10","0","0","0","10","0","10","0","0","0","10","0","0","0","10","0","10","0","10","0","5","0","5","0","5","0","8","3","9","4","10","0","5","0","10","0","8","3",NA,NA,"5","0","8","6","4","8","6","1","5","0","2","5",NA,NA,"2","5",NA,NA,"2","5",NA,NA,"5","0","3","5","10","0","0","0","6","4","2","0","2","0","4","5","7","5","7","5","5","0","6","1","7","0","10","0","10","0","10","0","0","0","10","0","5","0","10","0","8","0","7","48","62","4","8","23","6","8","9","4","7","8","0","19","7","10","0","20","0","10","0"
"120","Slovenia","60","0","58","1","58.6","0.5","0","0","82","0.8","55.4","-1.7","84.3","3","88","0","70","0","50","0","1","50","17","36.8","59.9","2.1","61.1 ","2.6","0.2","29658","9.5","0.2","1564.30","82.9","94","35","1","7","7","5","9","5","8","6","5","9","8","0","5","10","0","10","0","0","0","7","5","10","0","0","0","10","0","0","0","9","5","10","0","10","0","10","0","10","0","10","0","10","0","9","8","10","0","10","0","10","0","10","0",NA,NA,"10","0","9","2","7","8","9","0","10","0","10","0",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"10","0","10","0","10","0","0","0","10","0","0","0","8","0","8","0","10","0","10","0","10","0","9","4","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","8","82","23","4","1","26","0","5","0","18","9","8","0","18","1","4","0","50","0","0","0"
"121","South Africa","50","0","44","2","70.1","0.6","69.9","1.7","69.7","-3.3","58.7","-2.9","74.6","-0.3","77","0.4","45","-5","60","0","4","40","28","24.7","31.7","54","704.5 ","1.5","2.4","13046","25.1","6.1","5712.30","45.9","17","63","2","5","9","6","1","5","2","5","7","0","0","34","0","10","0","10","0","0","0","5","0","9","9","0","4","10","0","0","2","9","0","10","0","7","5","10","0","10","0","10","0","9","2","6","0","10","0","10","0","10","0","10","0",NA,NA,"10","0","8","3","9","8","9","4","10","0","10","0",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"10","0","10","0","10","0","0","0","10","0","0","0","7","3","5","0","10","0","10","0","10","0","8","9","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","7","70","55","4","2","25","8","8","0","7","9","8","0","18","1","4","0","41","0","4","0"
"122","Spain","70","0","60","1","58.3","5.2","41.1","1.3","76","-1.5","51.7","-0.9","84.7","3.4","88","0","85","0","70","0","1","47","30","32.6","44.3","46.5","1566.4 ","1.4","-0.5","33711","24.7","-0.2","22904.10","97.7","16","25","1","8","1","6","6","6","4","7","0","9","7","0","6","10","0","10","0","0","0","10","0","10","0","0","0","10","0","0","1","10","0","10","0","10","0","5","0","10","0","7","5","9","2","9","6","10","0","10","0","10","0","10","0",NA,NA,"10","0","7","7","6","3","8","0","10","0","7","5",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"10","0","9","5","10","0","0","0","10","0","0","0","8","0","6","5","10","0","10","0","10","0","9","2","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","8","76","27","4","5","24","6","4","6","20","5","10","0","9","7","5","0","45","0","5","0"
"123","Sri Lanka","40","5","38","1","85.1","0.1","90","1.6","70.3","-2.2","56.5","-2.2","71.5","3.3","72.4","0.8","35","5","40","0","6.3","24","28","11.6","18.3","21","217.4 ","7.4","7.5","10372","4.6","3.3","944.2","75.876","27","119","3","4","2","4","5","4","8","4","5","9","0","2","5","5","0","10","0","0","0","5","0","10","0","0","0","10","0","0","1","8","0","10","0","10","0","5","0","5","0","5","0","8","3","8","4","5","0","5","0","10","0","6","7",NA,NA,"7","5","7","4","5","7","6","9","5","0","5","0",NA,NA,"5","0",NA,NA,"5","0",NA,NA,"7","5","5","5","10","0","0","0","10","0","0","0","4","3","3","8","7","5","7","5","7","5","7","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","6","4","121","8","5","11","3","9","1","3","8","7","0","23","2","9","0","24","0","8","0"
"124","Sudan",NA,NA,"11","0","86.4","0","94.8","0.3","48.8","-0.2","43.5","-0.3","46.7","-6.1","50.6","-5","10","-5",NA,NA,"14.7","10","35","6.1","13.1","37.3","159.1 ","3.4","1.1","4267","14.8","36.9","1277.40","74.2","80","157","4",NA,NA,NA,"3","2","7","9","5","2","5","0","0","0","33","2","2","5","8","5","4","6","8","9","5","4","5","0","1","2","10","0","0","0","0","0","0","0","3","7","5","5","10","0","5","0","0","0","5","0",NA,NA,"7","5","8","2","3","8","6","5","2","5","2","5",NA,NA,"2","5",NA,NA,"2","5",NA,NA,"7","5","3","5","10","0","0","0","10","0","0","0","1","3","1","0","10","0","0","0","7","5","5","7",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","25","157","9","8","6","6",NA,NA,"10","0","5","2","10","0","15","0","7","0","34","0","8","5","9","4"
"125","Suriname","30","-5","36","0","69.4","0.1","70.3","-3.5","48.8","6.6","76.3","-5.6","78.7","1.5","68.4","2.2","30","0","30","0","10.8","38","36","17.9","31.5","0.6","9.2 ","2.9","4.3","16623","5.6","3.4","4.2","34.1","7","67","2","4","6","5","0","5","2","4","9","6","7","8","3","10","0","10","0","0","0",NA,"10","0","0","0","10","0","0","0","10","0",NA,NA,"5","0","5","0","5","0","5","0","7","2","10","0","10","0",NA,"10","0",NA,NA,NA,"9","7","9","3","9","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","0","0","0","10","0","0","0","7","3","6","8",NA,NA,NA,"8","5",NA,"10","0","10","0","10","0","10","0","10","0","10","0",NA,"10","0","7","79","50","4","9","23","5","8","6","5","7","10","0","4","1","5","0","38","0","5","0","40","0","5","0","7","1","4","2","5","3","5","6","5","0","5","0"
"126","Swaziland","40","0","43","4","70.9","-5.5","64.9","-3.7","58.6","-1.9","65.8","-3.5","74.5","0.6","88.8","12.8","50","-5","40","0","0.6","33","27.5","32.6","34.2","1.1","8.6 ","1.7","1.5","7797","22.3","5.8","12.7","16.2","24","122","3",NA,NA,NA,"4","7","3","1","17","3","10","0","10","0","0","0","7","5","10","0","0","0","10","0","0","0","9","5","10","0","10","0","0","0","5","0","2","5","7","5","6","7","10","0","5","0","5","0","6","7",NA,NA,NA,"9","3","6","6","8","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","0","0","0","10","0","0","0","1","3","2","5",NA,NA,NA,"6","0","7","0","5","0","0","0","2","5","0","0","10","0","5","0","5","0","4","9","6","2","122","5","0","23","0","9","9","1","0","0","0","51","2","7","0","33","0","7","0","33","0","7","0","5","5","4","3","3","8","4","7","5"
"127","Sweden","90","0","87","-2","44.4","1.4","14.9","-4.3","89.7","1.8","53.5","-0.5","87.1","1.6","88","0","85","-5","80","0","1","57","22","42.8","53.2","9.7","448.2 ","2.1","2.4","45986","8","-0.2","10036.20","41.5","39","17","1","9","5","8","1","8","0","8","5","9","6","1","1","10","0","10","0","0","0","10","0","10","0","0","0","10","0","0","1","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","9","10","0","10","0","10","0","10","0",NA,NA,"10","0","8","4","8","3","8","9","10","0","10","0",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"10","0","10","0","10","0","0","0","10","0","0","0","9","3","8","8","10","0","10","0","10","0","9","7","10","0","10","0","10","0","10","0","10","0","10","0","10","0","5","0","8","8","9","33","3","0","8","37","1","4","6","20","2","8","0","18","2","2","0","57","0","0","0"
"128","Switzerland","90","0","86","1","70.9","0.6","66.3","1.2","82.2","4.1","72.1","-3.2","87.8","1.5","90","0","85","0","80","0","0","40","24","27.1","33.5","8.1","472.8 ","2","2","58087","4.5","0","21914.30","46.1","79","2","1",NA,NA,NA,"8","2","9","8","0","5","10","0","10","0","0","0","10","0","10","0","0","0","10","0","0","0","10","0","10","0","10","0","10","0","5","0","7","5","9","2","9","7","10","0","10","0","10","0","10","0",NA,NA,"10","0","7","7","6","9","8","2","10","0","10","0",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"10","0","10","0","10","0","0","0","10","0","0","0","8","7","9","0","10","0","10","0","10","0","9","7","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","9","19","10","6","4","18","2","6","3","14","1","10","0","13","0","8","0","26-42","6","0","35-49","7","0","7"
"129","Syria","10","0","20","3","","","","","62.4","5.1","46.9","-2.2","42.7","","56.6","","0","0","20","0","14.2","22","28","","","18.1","73.00 ","0.4","","4020 ","","29.2","","","77","162","4",NA,NA,NA,"2","0","9","1","2","2","0","0","0","0","2181","8","0","0","0","0","149","5","0","0","159","3","0","0","10","0","7","5","0","0","0","0","0","0","5","8","5","0","0","0","0","0","0","0","0","0",NA,NA,NA,"5","4","3","4","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","17","0","6","2","7","0","0","3","0","5",NA,NA,NA,"1","8",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","51","161","6","8","16","8","9","0","4","3","2","0","47","9","9","0","22","0","5","0","38","0","7","0","6","2","3","1","3","2","5","9","3","3"
